epoch,train_loss,val_loss,val_accuracy,val_macro_f1
0,0.58544921875,0.13644932992756367,0.9541874670216208,0.8078068618534034
1,0.08551025390625,0.04626622796058655,0.9888280651164205,0.8581213188869743
2,0.046661376953125,0.02576538724824786,0.9933044390255554,0.8704233860019466
3,0.0241546630859375,0.016733941342681646,0.994978600696156,0.8769841171036432
4,0.019866943359375,0.01740269400179386,0.9941871195950743,0.8806725984966544
5,0.01210784912109375,0.00766397297848016,0.9978209841291211,0.8921463367867657
6,0.00862884521484375,0.006036734872031957,0.9983985807625578,0.89208311474281
7,0.13720703125,0.06616788394749165,0.9783184120869696,0.8469086940763585
8,0.0350341796875,0.01832175408490002,0.9943380330011791,0.8803945582327849
9,0.0192718505859375,0.011394448019564152,0.9964790490935425,0.8866914210313486
10,0.01386260986328125,0.008912533987313509,0.9968612182946134,0.8866208413469527
