epoch,train_loss,val_loss,val_accuracy,val_macro_f1
0,1.013671875,0.2112868309020996,0.9100773241207394,0.793698067035822
1,0.2000732421875,0.13293466717004776,0.9508054867337344,0.8152896690503871
2,0.0966796875,0.04602200202643871,0.9853798566431213,0.8584700345673429
3,0.04156494140625,0.02682778174057603,0.9911959941719197,0.8730011400877583
4,0.02850341796875,0.01904484103433788,0.9939363210568716,0.8824173888327389
5,0.0212860107421875,0.015154697187244891,0.994591002955297,0.884128871071405
6,0.01690673828125,0.011835797666572034,0.9961663652017572,0.8889844037777059
7,0.01398468017578125,0.008939993800595403,0.9974247007246015,0.8907935903535892
8,0.01209259033203125,0.007750568934716285,0.9975799569625365,0.8911414571735413
9,0.01029205322265625,0.007397201051935554,0.9976429280240766,0.8912167091750897
10,0.0088653564453125,0.006028375832829625,0.9984648089479707,0.8938123259189418
11,0.0110931396484375,0.005647774296812713,0.9985353799652139,0.8941139677887779
12,0.007419586181640625,0.004835668846499175,0.9984669803638859,0.8938737750710196
13,0.006114959716796875,0.005169325962197035,0.9983844665591092,0.8934388264387444
14,0.005764007568359375,0.003970759984804317,0.9988665208922782,0.8942847467167605
15,0.00482177734375,0.004203927289927379,0.9989707488562066,0.895452197525483
16,0.004787445068359375,0.003812888008542359,0.9991759476601908,0.8963570544474738
17,0.003833770751953125,0.0034624911204446107,0.9990130914665526,0.8954172677072387
18,0.0038814544677734375,0.0025848457240499555,0.9994028606233266,0.897693814193059
19,0.0038127899169921875,0.007003003056161106,0.9968275613479282,0.8936186849085725
20,0.004070281982421875,0.0029031581245362757,0.9992682328365857,0.8964865472928576
21,0.0028362274169921875,0.0029153793380828573,0.9992606328808826,0.8968822751574311
22,0.00251007080078125,0.0030111509870039297,0.9993746322164294,0.8972761472070605
23,0.0033016204833984375,0.002622464270098135,0.999283432747992,0.8964171911933667
