epoch,train_loss,val_loss,val_accuracy,val_macro_f1
0,0.857421875,0.2148434817790985,0.903773703718984,0.7829194165668211
1,0.192138671875,0.13311188034713267,0.9428266189534209,0.8054543042314185
2,0.08721923828125,0.044828081876039504,0.9845036903213479,0.8582737139810999
3,0.041778564453125,0.02693853247910738,0.9912470224459263,0.8739350408431719
4,0.0282135009765625,0.01713933879509568,0.9943847184433554,0.8794374270029486
5,0.019866943359375,0.013486267579719425,0.9945540888847391,0.8792821497157645
6,0.0152587890625,0.009763347869738936,0.9966929335611873,0.8897935701438765
7,0.012298583984375,0.008997566835023462,0.9975137287771237,0.890580241975306
8,0.01117706298828125,0.007226320053450763,0.9976396709002039,0.8898027604773843
9,0.00897216796875,0.005955404799897224,0.9984040093023457,0.8927785008364181
10,0.00786590576171875,0.004733366437721998,0.998629836557524,0.8937686635573694
11,0.007083892822265625,0.005072819942142814,0.9983236669134843,0.8941559259410724
12,0.01337432861328125,0.004788149206433445,0.9980077258978262,0.8929713900872326
13,0.005367279052734375,0.0035201562684960665,0.9989674917323339,0.8953411600576981
14,0.004486083984375,0.0029312268190551547,0.9991379478816752,0.8962665870300963
15,0.004962921142578125,0.003968423733022064,0.99802401151719,0.892217727508396
16,0.0038204193115234375,0.002851440868107602,0.9985929224869661,0.8948718750946242
17,0.0037250518798828125,0.002517522586276755,0.9994093748710722,0.8975073784245703
18,0.0031986236572265625,0.002192882646340877,0.9994929743838065,0.8980745605380104
19,0.0032825469970703125,0.0023333770281169564,0.9992313187660278,0.8959054163436887
20,0.00351715087890625,0.002304034912958741,0.9993246896503803,0.89793891535568
21,0.011505126953125,0.002081669180188328,0.9993344610219986,0.8967291364661113
22,0.0028247833251953125,0.0016743129497626796,0.9994690888087395,0.8972418612330687
23,0.0021209716796875,0.001838846443570219,0.9995841738522439,0.8984945383361435
24,0.0021915435791015625,0.0015623780403984711,0.9995136028350006,0.8978004621184497
