epoch,train_loss,val_loss,val_accuracy,val_macro_f1
0,0.72607421875,0.1586124688386917,0.928370417498138,0.8021239390716494
1,0.08184814453125,0.0340785245411098,0.9902470854169878,0.8705977008672248
2,0.030364990234375,0.018981995712965726,0.9937180937573964,0.879886588181478
3,0.0189056396484375,0.012915529916062951,0.9960208803354403,0.8866727474862877
4,0.01526641845703125,0.008988172584213316,0.997431214972347,0.8888911134297206
5,0.0103912353515625,0.008418561029247939,0.9975864712102821,0.8887230041792018
6,0.00803375244140625,0.008626547665335238,0.9983432096567209,0.8944308657198343
7,0.048126220703125,0.009738606913015247,0.9960871085208531,0.8909954057927003
8,0.009368896484375,0.007159320474602282,0.997183673558017,0.8903447627424954
9,0.006717681884765625,0.0056362608098424975,0.9979892688625472,0.8922780677151778
10,0.005584716796875,0.005125629191752523,0.9986070366904147,0.8933342511656003
11,0.00461578369140625,0.004082032485166564,0.9988111497864413,0.8945740821969089
12,0.01195526123046875,0.0254228254314512,0.99496774361658,0.8773857404180856
13,0.0072479248046875,0.0029499359196051957,0.9991770333681483,0.8960520454327167
14,0.0030536651611328125,0.002804640418617055,0.9991976618193426,0.8964275044251888
15,0.00316619873046875,0.0026190279837464913,0.9992845184559496,0.8969794560329769
16,0.00251007080078125,0.0026706105592893435,0.9991433764214631,0.8951528383096925
17,0.00228118896484375,0.001970524643547833,0.9993442323936169,0.8970761614647348
18,0.00257110595703125,0.0032164696604013443,0.9990206914222557,0.8933338534296542
19,0.0076446533203125,0.0029736608674284072,0.9987753214238408,0.8955229995123128
20,0.0031414031982421875,0.003506515163462609,0.9992693185445434,0.8953781392496822
21,0.004146575927734375,0.02956019388511777,0.9895381181206829,0.8930381052358776
22,0.004146575927734375,0.0028331029694527387,0.9990434912893651,0.895652534846687
