epoch,train_loss,val_loss,val_accuracy,val_macro_f1
0,0.81982421875,0.1196159053593874,0.9611707406048262,0.829806593647108
1,0.07098388671875,0.03386407308280468,0.9917649051416958,0.8692209614779228
2,0.02862548828125,0.01768975299783051,0.9962423647587882,0.8863143127077432
3,0.0174713134765625,0.010276123927906156,0.9981032681980939,0.8926140606194718
4,0.011566162109375,0.007322107243817299,0.9985625226641536,0.89395569369913
5,0.00875091552734375,0.005540548707358539,0.9990380627495771,0.8953267840818286
6,0.006847381591796875,0.004454855684889481,0.9992139474387064,0.8959072813333163
7,0.91357421875,0.39146971702575684,0.8822984003178953,0.6714972817807652
8,0.31982421875,0.2538317501544952,0.9116418292876236,0.771005073274353
9,0.1710205078125,0.08657648265361786,0.9682289280371051,0.8397177622719101
10,0.059478759765625,0.03558825915679335,0.9902698852840972,0.8636336338059385
11,0.0323486328125,0.023593834415078164,0.9937962647303427,0.8723730555094494
