epoch,train_loss,val_loss,val_accuracy,val_macro_f1
0,0.78271484375,0.19750157073140145,0.9076789952424277,0.7881297867998704
1,0.1405029296875,0.062069258838891986,0.9785225251829961,0.8430384491400238
2,0.043365478515625,0.025004995241761207,0.9899734870116758,0.8743357005754715
3,0.02313232421875,0.01523123700171709,0.9933391816801982,0.8790722467445515
4,0.10406494140625,0.032297018356621264,0.9892927481222681,0.871439033318136
5,0.02337646484375,0.0150898024905473,0.993769122031403,0.8789833235139453
6,0.0144500732421875,0.010506362561136484,0.9961272797152839,0.8849358597041339
7,0.01079559326171875,0.007960592466406523,0.9971728164784411,0.8921475100772376
8,0.00870513916015625,0.006535341951530427,0.9974941860338871,0.8897981073007495
9,0.007843017578125,0.005438673100434244,0.9982378959848348,0.8924628683272238
10,0.01445770263671875,0.02171848574653268,0.9941534626483891,0.8805390927082353
11,0.008392333984375,0.004313738644123077,0.9985256085935956,0.8939706490090595
12,0.00640869140625,0.0044211210450157525,0.9983942379307275,0.8948627918134353
13,0.004405975341796875,0.0031513670575805007,0.9989588060686732,0.8957072806322346
14,0.004486083984375,0.005465812981128693,0.9983410382408057,0.8933607423910708
15,0.003917694091796875,0.002781843242701143,0.9988741208479813,0.8954424438131227
16,0.00787353515625,0.003221708268392831,0.9988404639012961,0.8960718225558336
17,0.00391387939453125,0.0038030046853236854,0.9986102938142875,0.8933555617676351
18,0.0037555694580078125,0.006712824990972877,0.9965876198893012,0.8940212718416701
19,0.006465911865234375,0.003987930133007467,0.9988187497421444,0.8946351148908771
20,0.009368896484375,0.009200161835178734,0.9962988215725829,0.8897515152952817
21,0.00336456298828125,0.0016979160805931314,0.9994647459769092,0.8976988775668637
22,0.001575469970703125,0.0019515595369739458,0.9993453181015745,0.8972498479471701
23,0.0022563934326171875,0.002934364142129198,0.9988849779275573,0.8951200151008599
24,0.003437042236328125,0.00587055595824495,0.998282410011096,0.8953828694041827
