epoch,train_loss,val_loss,val_accuracy,val_macro_f1
0,0.72607421875,0.15860806554555892,0.9292259553687173,0.802257737564054
1,0.0819091796875,0.03406242970377207,0.9902503425408606,0.8706085743810659
2,0.03033447265625,0.018993267323821783,0.993724608005142,0.87990157085401
3,0.0189208984375,0.012902413960546255,0.9960197946274827,0.8866110520822119
4,0.0157012939453125,0.009041305352002382,0.9974507577155836,0.8888960189795403
5,0.01036834716796875,0.008491346845403314,0.9975256715646572,0.8888142816210202
6,0.00829315185546875,0.005766221543308347,0.9985180086378925,0.8941370625144367
7,0.044769287109375,0.009857356362044812,0.9968775039139772,0.8892299691688222
8,0.00872039794921875,0.005810982338152826,0.998005554481911,0.8909347583377105
9,0.006053924560546875,0.0043736632098443804,0.9987861785034168,0.8944390239641635
10,0.00765228271484375,0.010657151672057807,0.9977156704572351,0.8877078410307758
11,0.005504608154296875,0.0033592644380405546,0.9989653203164187,0.8949709411005499
12,0.00347137451171875,0.0026629579428117723,0.9991368621737177,0.896135711648341
13,0.0030574798583984375,0.0025500442745396866,0.9991987475273001,0.8966304162080746
14,0.0027103424072265625,0.004392016027122736,0.9987959498750351,0.8957045807639217
15,0.00345611572265625,0.002445865233312361,0.9994104605790297,0.8968290319817331
16,0.0029659271240234375,0.0022604672354646026,0.9993735465084718,0.8970250326591437
17,0.02081298828125,0.004158120654756204,0.9988263496978474,0.8937637722506817
18,0.0032901763916015625,0.0031150198134128003,0.9989631489005035,0.8930528719029684
19,0.00212860107421875,0.0017689525615423919,0.999457146021206,0.8972918243681878
20,0.001911163330078125,0.001836916763568297,0.9994745173485274,0.897283486008661
21,0.0013780593872070312,0.001104382071935106,0.9996460592058264,0.8985262996957271
22,0.00146484375,0.0024814116477500647,0.9992790899161617,0.8962441135616939
23,0.0018558502197265625,0.0028033067239448426,0.9993713750925566,0.8952757700960806
24,0.00714111328125,0.009454720164649188,0.9964377921911541,0.8925450939621236
