run_id,algo,space,params,eligible,n_fit,silhouette_mean,silhouette_std,calinski_harabasz,davies_bouldin,stability_ari,prototype_fidelity,spatial_coherence,largest_share,size_entropy,noise_frac,k_effective,bic,aic
kmeans__k=2__space=raw,kmeans,raw,"{""k"": 2}",True,107362,0.2950408390897824,0.0013096655701204,43105.70069440971,1.5147664525593791,0.9831492752681686,0.1063833828979771,0.3032819082758723,0.5256049626497271,0.9981074698564908,0.0,2,,
kmeans__k=3__space=raw,kmeans,raw,"{""k"": 3}",True,107362,0.3104350379179621,0.0014853545452245,37970.14085158137,1.3932391134444864,0.9800770146782066,0.1119757226397463,0.4147813075944067,0.4588867569531119,0.9372105308371286,0.0,3,,
kmeans__k=4__space=raw,kmeans,raw,"{""k"": 4}",True,107362,0.3281332486019394,0.0011208849732748,38848.96803154835,1.2949170930307965,0.8515685131938837,0.1382277592170077,0.4519403924755588,0.3223952608930534,0.9789651024176472,0.0,4,,
kmeans__k=5__space=raw,kmeans,raw,"{""k"": 5}",True,107362,0.3835965854452289,0.001043791721778,42534.06587409096,1.0768123937793697,0.9952228378819544,0.1527597786149528,0.4463115698423019,0.3287382872897301,0.9677446952407298,0.0,5,,
kmeans__k=6__space=raw,kmeans,raw,"{""k"": 6}",True,107362,0.4037834600547996,0.0008030078862724,40618.64526887414,1.1356336367486757,0.932914683141226,0.1487075302361699,0.4515428295451221,0.3276764590823569,0.9372415001450872,0.0,6,,
kmeans__k=7__space=raw,kmeans,raw,"{""k"": 7}",True,107362,0.4250268359118079,0.0014589469917963,40140.425276445385,1.1012883954589516,0.9024263401109892,0.1538674527869361,0.4703096661521218,0.2418267170879827,0.9600440921629348,0.0,7,,
kmeans__k=8__space=raw,kmeans,raw,"{""k"": 8}",True,107362,0.4333444589628054,0.000999550500687,38662.78778282801,1.054962338005646,0.7736888018305498,0.1742349232851861,0.4943286095675612,0.1911383916096943,0.9591947987621048,0.0,8,,
kmeans__k=9__space=raw,kmeans,raw,"{""k"": 9}",True,107362,0.4375977648150374,0.0012720384931178,37825.38542026884,1.1202879842002242,0.839534024050517,0.1751390644498856,0.5189169342519079,0.1911570201747359,0.9633117879267536,0.0,9,,
kmeans__k=10__space=raw,kmeans,raw,"{""k"": 10}",True,107362,0.4241128026724178,0.0020988212584551,37215.74690651389,1.2084370825405375,0.8499140342244821,0.1781878393272351,0.5197166356793042,0.1880739926603453,0.9734033165622278,0.0,10,,
kmeans__k=12__space=raw,kmeans,raw,"{""k"": 12}",True,107362,0.4412259078815397,0.0022952347977956,35354.49766326433,1.1398262351081307,0.9047641744987656,0.1859045709601379,0.5290638692690619,0.1870587358655762,0.9452877352455816,0.0,12,,
kmeans__k=14__space=raw,kmeans,raw,"{""k"": 14}",True,107362,0.4714881892681504,0.0015791693007538,35334.53321254097,1.0531950581498712,0.891610547167588,0.2017623678749568,0.5413262981137534,0.1841899368491645,0.9295630627220696,0.0,14,,
kmeans__k=16__space=raw,kmeans,raw,"{""k"": 16}",True,107362,0.4929345114085078,0.0019731354834415,34609.516869110426,0.9601008502314008,0.8693798351498567,0.2270255423347223,0.545632039048149,0.1760678824910117,0.928779587137486,0.0,16,,
