epoch,train_loss,val_loss,val_accuracy,val_macro_f1
0,0.8203125,0.1735094018280506,0.9242805556219044,0.7932060426676036
1,0.10931396484375,0.051365180499851705,0.9826319298024663,0.8507740148157812
2,0.0447998046875,0.029686340782791375,0.9896836029869998,0.8695225642512625
3,0.02679443359375,0.017970223817974328,0.9950947714476178,0.8819205774428278
4,0.035675048828125,0.01635315311141312,0.994849401449203,0.8797532447598162
5,0.0154571533203125,0.011016768380068242,0.9961555081221812,0.8812268535870524
6,0.01154327392578125,0.008289234666153788,0.9970392743996578,0.8871693140278017
7,0.00904083251953125,0.005699979502242059,0.9983953236386851,0.8942289972357106
8,0.0131378173828125,0.005430022801738233,0.998010983021699,0.8914894085958407
9,0.006099700927734375,0.004163533065002412,0.9988220068660171,0.8947087811826737
10,0.00582122802734375,0.004000757005997002,0.9990087486347222,0.8953104291775104
11,0.004734039306640625,0.003751323453616351,0.998603779566542,0.8939988606396903
12,0.004299163818359375,0.003655905043706298,0.9979338977567103,0.8951844647071807
13,0.440673828125,0.15876181945204734,0.9292226982448445,0.7722923938868894
14,0.09588623046875,0.05944232475012541,0.9797417752193673,0.8348611826971011
15,0.04962158203125,0.041636696085333824,0.9876337863630738,0.8508022597180112
