epoch,train_loss,val_loss,val_accuracy,val_macro_f1
0,0.7421875,0.19603389278054237,0.910473607525259,0.7909258759786275
1,0.1597900390625,0.10167094133794308,0.9709703406300146,0.8287093380694944
2,0.07684326171875,0.03736378801986575,0.987593615168643,0.8603614166990378
3,0.03424072265625,0.021458903141319752,0.9929722123905335,0.8765132774768982
4,0.0228424072265625,0.014899747632443904,0.9949623150767921,0.8805596587457909
5,0.016845703125,0.01103612210135907,0.9959948233444582,0.8842656841608232
6,0.01396942138671875,0.010588175291195512,0.9957277391868916,0.8802358344210678
7,0.01126861572265625,0.006985894555691629,0.9979067550577705,0.8910403312210061
8,0.01226043701171875,0.006913416553288698,0.9976081853694339,0.8911473004547126
9,0.0084381103515625,0.007079573429655284,0.9982878385508839,0.8914373155171841
10,0.00800323486328125,0.004924877616576851,0.9980717826673239,0.8926346633943671
11,0.006587982177734375,0.004203478596173227,0.9985332085492987,0.893385702425129
12,0.005191802978515625,0.003781572903972119,0.9987622929283498,0.8952258672207515
13,0.00464630126953125,0.0033741050225216894,0.9991162337225235,0.896182218772538
14,0.00417327880859375,0.0029371607466600834,0.9991053766429475,0.8948013585596855
15,0.004764556884765625,0.0025989483401644975,0.9993768036323445,0.8972250640480185
16,0.00830841064453125,0.007706648088060319,0.9967287619237877,0.8901840618927329
17,0.004180908203125,0.003106025519082323,0.9989533775288852,0.8938997576408354
18,0.003143310546875,0.00345075277145952,0.9990044058028918,0.896633791329748
19,0.003276824951171875,0.0035096627834718674,0.9984767517355042,0.8944188284282101
20,0.0023822784423828125,0.0026761842658743263,0.9994951457997217,0.8974545829469976
21,0.00453948974609375,0.0018938175431685521,0.9995754881885831,0.8982924207660652
22,0.0020313262939453125,0.0017793163016904146,0.9994593174371212,0.8972677441317056
23,0.0017757415771484375,0.0020743243803735822,0.999333375314041,0.8961087844293161
24,0.00234222412109375,0.0014483087899861858,0.9996286878785049,0.8988790508240101
