epoch,train_loss,val_loss,val_accuracy,val_macro_f1
0,0.712890625,0.1640918530523777,0.9276473359983844,0.7975135103183449
1,0.0904541015625,0.030123294238001107,0.9896401746686962,0.8721798256810386
2,0.026947021484375,0.014046505838632584,0.995676710912885,0.8842344917815689
3,0.0153045654296875,0.012105732038617135,0.9959112238317239,0.8858607167407756
4,0.01328277587890625,0.008088949299417437,0.9977460702800475,0.8907406118995922
5,0.009124755859375,0.006618764786981046,0.9982617815599018,0.8941406634653332
6,0.00806427001953125,0.008104562014341354,0.9971760736023139,0.8890645337701495
7,0.0144500732421875,0.0115051836008206,0.9948743727322275,0.8889594540422937
8,0.00836944580078125,0.00503949944395572,0.9983573238601695,0.8927009757617702
9,0.00528717041015625,0.00337698552175425,0.9986754362917427,0.895670001113565
10,0.0049896240234375,0.0030468508892226966,0.9989740059800795,0.8965859772293747
11,0.0034961700439453125,0.0033600066846702246,0.9990814910678806,0.8962833364083804
12,0.08856201171875,0.016149267414584757,0.994596431495085,0.8848623310223507
13,0.01250457763671875,0.007154850848019123,0.9972325304161085,0.8916477958049424
14,0.007965087890625,0.0057516998378559945,0.9978166412972908,0.8915512810416747
15,0.005855560302734375,0.0043666959390975535,0.9984452662047342,0.8951266741288281
