train_loss,val_loss,lr,epoch_time,tokens_per_sec
0.035850610584020615,0.032208528369665146,0.0009960612933065818,68,201099.70588235295
0.03240363299846649,0.03243572264909744,0.0009843072889837514,67,204101.19402985074
0.032170627266168594,0.032119911164045334,0.000964923354701182,68,201099.70588235295
0.03205461800098419,0.03213758394122124,0.0009382151866819102,67,204101.19402985074
0.03199513629078865,0.032228510826826096,0.0009046039886902867,67,204101.19402985074
0.031972404569387436,0.03207981958985329,0.0008646198293969955,67,204101.19402985074
0.03193205967545509,0.03208048269152641,0.0008188932828794708,67,204101.19402985074
0.031919918954372406,0.03213675320148468,0.000768145484092009,68,201099.70588235295
0.03190385550260544,0.0320584662258625,0.0007131767561367541,67,204101.19402985074
0.031893983483314514,0.032095156610012054,0.0006548539886902865,67,204101.19402985074
0.03188636898994446,0.032074518501758575,0.0005940969666355698,67,204101.19402985074
0.031872592866420746,0.032071035355329514,0.0005318638645048923,67,204101.19402985074
0.03187153860926628,0.032092947512865067,0.0004691361354951082,68,201099.70588235295
